"created","id","name","date_in_series_pattern","status","time","local_date","local_time","updated","utc_offset","waitlist_count","yes_rsvp_count","duration","rsvp_limit","how_to_find_us","venue_name","venue_address","venue_lat","venue_lon","duration_h"
"2014-09-20 21:28:48","208459022","Let's get together and find out some of the ways R is used in Hamburg",FALSE,"past","2015-01-22 19:00:00","2015-01-22","19:00",1421962356000,3600000,0,21,NA,NA,NA,"Collins/About You GmbH http://projekt-collins.de/","Domstr. 10 20095 Hamburg ",53.5493278503418,9.99568367004395,"NAh NAmin"
"2015-01-28 07:46:01","220134832","Next quarterly meeting",FALSE,"past","2015-04-21 19:00:00","2015-04-21","19:00",1429645172000,7200000,0,36,7200000,NA,NA,"Collins/About You GmbH http://projekt-collins.de/","Domstr. 10 20095 Hamburg ",53.5493278503418,9.99568367004395,"2h 0min"
"2015-04-23 14:43:49","222042958","Third quarterly meeting",FALSE,"past","2015-07-14 19:00:00","2015-07-14","19:00",1436967229000,7200000,0,31,7200000,NA,NA,"InnoGames GmbH ","Friesenstraße 13",53.5438613891602,10.0297899246216,"2h 0min"
"2015-07-15 15:43:32","223938322","4th quarterly meet up ",FALSE,"past","2015-10-20 18:30:00","2015-10-20","18:30",1445367966000,7200000,0,25,7200000,NA,NA,"HSBA Hamburg School of Business Administration","Alter Wall 38, 20457 Hamburg",53.5501594543457,9.98954105377197,"2h 0min"
"2015-11-15 11:58:01","226786591","5th Quarterly meetup",FALSE,"past","2016-01-19 18:30:00","2016-01-19","18:30",1453262972000,3600000,0,37,7200000,NA,NA,"Collins/About You GmbH http://projekt-collins.de/","Domstr. 10 20095 Hamburg ",53.5493278503418,9.99568367004395,"2h 0min"
"2016-02-21 15:11:35","229015974","7th Quarterly Hamburg R User Group Meetup",FALSE,"past","2016-07-12 19:00:00","2016-07-12","19:00",1468356341000,7200000,0,27,NA,NA,NA,"Bytro","Zirkusweg 2",53.5473937988281,9.96618461608887,"NAh NAmin"
"2016-12-19 09:19:19","236331600","8th (semi) quarterly meetup",FALSE,"past","2017-02-21 19:00:00","2017-02-21","19:00",1487795806000,3600000,0,42,NA,NA,NA,"Social Impact Lab","Pastorenstr. 16-18",53.5480575561523,9.98080730438232,"NAh NAmin"
"2017-02-24 10:43:21","237953507","9th Quarterly R User Group Meetup",FALSE,"past","2017-05-16 19:00:00","2017-05-16","19:00",1495447214000,7200000,0,56,10800000,NA,NA,"fashion.cloud","Hongkongstraße 1",53.5430679321289,10.0012350082397,"3h 0min"
"2017-06-15 19:29:26","240818665","10th Quarterly Meetup",FALSE,"past","2017-08-01 19:00:00","2017-08-01","19:00",1502268903000,7200000,0,61,7200000,NA,NA,"Xing AG","Dammtorstraße 30",53.5563468933105,9.9884090423584,"2h 0min"
"2017-10-13 10:41:26","244169901","11th Quarterly Meetup",FALSE,"past","2017-12-07 19:00:00","2017-12-07","19:00",1512724625000,3600000,0,53,7200000,NA,NA,"JobMatchMe GmbH","Glashüttenstraße 85",0,0,"2h 0min"
"2018-02-08 16:12:14","247614601","Free Workshop on Deep Learning with R",FALSE,"past","2018-03-20 18:00:00","2018-03-20","18:00",1526817624000,3600000,0,110,10800000,110,NA,"Zalando adtech lab","Neustädter Neuer Weg 22",53.5449485778809,9.9781608581543,"3h 0min"
"2018-05-19 11:55:39","250934822","R in production - Creating APIs with the plumber package",FALSE,"past","2018-06-06 19:00:00","2018-06-06","19:00",1528364479000,7200000,0,38,9000000,60,NA,"WeWork Hanse Forum","Axel-Springer-Platz 3",53.5521087646484,9.98440361022949,"2h 30min"
"2018-09-17 17:02:59","254759801","14th Quarterly Meetup (Lightning Talks & Get together)",FALSE,"past","2018-09-27 18:30:00","2018-09-27","18:30",1538077579000,7200000,0,13,9000000,25,NA,"JobMatchMe GmbH","Glashüttenstraße 85",0,0,"2h 30min"
"2019-01-02 11:28:34","257703548","Geocomputation with R, data science, open source software and geodata",FALSE,"past","2019-01-09 19:00:00","2019-01-09","19:00",1547063937000,3600000,0,45,3600000,45,NA,"JobMatchMe GmbH","Zirkusweg 2",53.5473670959473,9.96530818939209,"1h 0min"
"2019-02-07 10:47:04","258756859","""Using R to help plan the future of transport"" & ""easystats: Make R stats easy!""",FALSE,"past","2019-02-13 18:30:00","2019-02-13","18:30",1550090971000,3600000,0,35,7200000,55,NA,"JobMatchMe GmbH","Zirkusweg 2",53.5473670959473,9.96530818939209,"2h 0min"
"2019-02-25 12:23:34","259262118","Workshop: (How) Does Advertising Drive Sales?",FALSE,"past","2019-03-06 18:30:00","2019-03-06","18:30",1551904471000,3600000,0,20,7200000,20,"10th floor of the Astra tower","JobMatchMe GmbH","Zirkusweg 2",53.5473670959473,9.96530818939209,"2h 0min"
"2019-04-30 13:53:20","261041306","Building an integrated end-to-end ML pipeline for customer support optimization",FALSE,"past","2019-06-04 18:30:00","2019-06-04","18:30",1559683253000,7200000,0,58,7200000,60,"10th floor of the Astra tower","JobMatchMe GmbH","Zirkusweg 2",53.5473670959473,9.96530818939209,"2h 0min"
"2019-07-08 12:01:29","262964118","Process Mining with R & R for Product Management",FALSE,"upcoming","2019-07-30 18:30:00","2019-07-30","18:30",1563179401000,7200000,0,36,7200000,60,"10th floor of the Astra tower","JobMatchMe GmbH","Zirkusweg 2",53.5473670959473,9.96530818939209,"2h 0min"
