"date","count","type"
2015-01-22,105,estimate
2015-04-21,180,estimate
2015-07-14,155,estimate
2015-10-20,125,estimate
2016-01-19,185,estimate
2016-07-12,135,estimate
2017-02-21,210,estimate
2017-05-16,280,estimate
2017-08-01,305,estimate
2017-12-07,265,estimate
2018-03-20,550,estimate
2018-05-03,579,membercount
2018-05-04,580,membercount
2018-05-05,580,membercount
2018-05-06,580,membercount
2018-05-07,581,membercount
2018-05-08,581,"membercount"
2018-05-09,581,"membercount"
2018-05-10,581,"membercount"
2018-05-11,581,"membercount"
2018-05-12,581,"membercount"
2018-05-13,582,"membercount"
2018-05-14,583,"membercount"
2018-05-15,583,"membercount"
2018-05-16,583,"membercount"
2018-05-17,584,"membercount"
2018-05-18,584,"membercount"
2018-05-19,584,"membercount"
2018-05-20,584,"membercount"
2018-05-21,584,"membercount"
2018-05-22,584,"membercount"
2018-05-23,584,"membercount"
2018-05-24,586,"membercount"
2018-05-25,588,"membercount"
2018-05-26,588,"membercount"
2018-05-27,588,"membercount"
2018-05-28,589,"membercount"
2018-05-29,590,"membercount"
2018-05-30,590,"membercount"
2018-05-31,590,"membercount"
2018-06-01,592,"membercount"
2018-06-02,592,"membercount"
2018-06-03,592,"membercount"
2018-06-04,592,"membercount"
2018-06-05,592,"membercount"
2018-06-06,593,"membercount"
2018-06-07,593,"membercount"
2018-06-08,593,"membercount"
2018-06-09,593,"membercount"
2018-06-10,593,"membercount"
2018-06-11,592,"membercount"
2018-06-12,592,"membercount"
2018-06-13,592,"membercount"
2018-06-14,592,"membercount"
2018-06-15,592,"membercount"
2018-06-16,594,"membercount"
2018-06-17,594,"membercount"
2018-06-18,594,"membercount"
2018-06-19,595,"membercount"
2018-06-20,594,"membercount"
2018-06-21,595,"membercount"
2018-06-22,595,"membercount"
2018-06-23,595,"membercount"
2018-06-24,595,"membercount"
2018-06-25,595,"membercount"
2018-06-26,595,"membercount"
2018-06-27,595,"membercount"
2018-06-28,596,"membercount"
2018-06-29,597,"membercount"
2018-06-30,597,"membercount"
2018-07-01,597,"membercount"
2018-07-02,597,"membercount"
2018-07-03,597,"membercount"
2018-07-04,598,"membercount"
2018-07-05,598,"membercount"
2018-07-06,598,"membercount"
2018-07-07,598,"membercount"
2018-07-08,599,"membercount"
2018-07-09,600,"membercount"
2018-07-10,600,"membercount"
2018-07-11,600,"membercount"
2018-07-12,602,"membercount"
2018-07-13,602,"membercount"
2018-07-14,602,"membercount"
2018-07-15,602,"membercount"
2018-07-16,604,"membercount"
2018-07-17,604,"membercount"
2018-07-18,604,"membercount"
2018-07-19,605,"membercount"
2018-07-20,606,"membercount"
2018-07-21,606,"membercount"
2018-07-22,606,"membercount"
2018-07-23,606,"membercount"
2018-07-24,607,"membercount"
2018-07-25,607,"membercount"
2018-07-26,609,"membercount"
2018-07-27,609,"membercount"
2018-07-28,609,"membercount"
2018-07-29,609,"membercount"
2018-07-30,609,"membercount"
2018-07-31,609,"membercount"
2018-08-01,609,"membercount"
2018-08-02,609,"membercount"
2018-08-03,612,"membercount"
2018-08-04,612,"membercount"
2018-08-05,612,"membercount"
2018-08-06,612,"membercount"
2018-08-07,612,"membercount"
2018-08-08,612,"membercount"
2018-08-09,613,"membercount"
2018-08-10,613,"membercount"
2018-08-11,613,"membercount"
2018-08-12,613,"membercount"
2018-08-13,613,"membercount"
2018-08-14,612,"membercount"
2018-08-15,610,"membercount"
2018-08-16,610,"membercount"
2018-08-17,610,"membercount"
2018-08-18,610,"membercount"
2018-08-19,610,"membercount"
2018-08-20,611,"membercount"
2018-08-21,611,"membercount"
2018-08-22,611,"membercount"
2018-08-23,610,"membercount"
2018-08-24,611,"membercount"
2018-08-25,611,"membercount"
2018-08-26,611,"membercount"
2018-08-27,611,"membercount"
2018-08-29,611,"membercount"
2018-08-30,612,"membercount"
2018-08-31,612,"membercount"
2018-09-01,612,"membercount"
2018-09-02,612,"membercount"
2018-09-04,613,"membercount"
2018-09-05,613,"membercount"
2018-09-06,613,"membercount"
2018-09-07,613,"membercount"
2018-09-08,613,"membercount"
2018-09-09,613,"membercount"
2018-09-10,613,"membercount"
2018-09-11,613,"membercount"
2018-09-12,613,"membercount"
2018-09-13,613,"membercount"
2018-09-14,614,"membercount"
2018-09-15,614,"membercount"
2018-09-16,614,"membercount"
2018-09-17,614,"membercount"
2018-09-18,614,"membercount"
2018-09-19,614,"membercount"
2018-09-20,614,"membercount"
2018-09-21,612,"membercount"
2018-09-22,613,"membercount"
2018-09-23,613,"membercount"
2018-09-24,614,"membercount"
2018-09-25,613,"membercount"
2018-09-26,613,"membercount"
2018-09-27,613,"membercount"
2018-09-28,613,"membercount"
2018-09-29,614,"membercount"
2018-09-30,614,"membercount"
2018-10-01,614,"membercount"
2018-10-02,616,"membercount"
2018-10-03,618,"membercount"
2018-10-04,619,"membercount"
2018-10-05,619,"membercount"
2018-10-06,619,"membercount"
2018-10-07,619,"membercount"
2018-10-08,619,"membercount"
2018-10-09,620,"membercount"
2018-10-10,620,"membercount"
2018-10-11,620,"membercount"
2018-10-12,621,"membercount"
2018-10-13,621,"membercount"
2018-10-14,622,"membercount"
2018-10-15,622,"membercount"
2018-10-16,622,"membercount"
2018-10-17,622,"membercount"
2018-10-18,622,"membercount"
2018-10-19,622,"membercount"
2018-10-20,622,"membercount"
2018-10-22,622,"membercount"
2018-10-23,623,"membercount"
2018-10-24,623,"membercount"
2018-10-25,623,"membercount"
2018-10-26,624,"membercount"
2018-10-27,625,"membercount"
2018-10-28,625,"membercount"
2018-10-29,625,"membercount"
2018-10-30,625,"membercount"
2018-10-31,625,"membercount"
2018-11-01,625,"membercount"
2018-11-02,626,"membercount"
2018-11-03,626,"membercount"
2018-11-04,626,"membercount"
2018-11-05,626,"membercount"
2018-11-06,626,"membercount"
2018-11-06,626,"membercount"
2018-11-07,626,"membercount"
2018-11-08,627,"membercount"
2018-11-09,627,"membercount"
2018-11-10,628,"membercount"
2018-11-11,627,"membercount"
2018-11-12,626,"membercount"
